rid,date,venue,season,fs,cost,ret,win_pairs,n_in,hit,real
2021-04-08_HV_9,2021-04-08,HV,2020-21,12,60.0,41.57874019515069,1,2,1,False
2021-04-11_ST_1,2021-04-11,ST,2020-21,10,60.0,0.0,0,1,0,False
2021-04-11_ST_10,2021-04-11,ST,2020-21,11,60.0,37.98268754804729,1,2,1,False
2021-04-11_ST_11,2021-04-11,ST,2020-21,14,60.0,32.88806906329989,1,2,1,False
2021-04-11_ST_2,2021-04-11,ST,2020-21,14,60.0,48.7284879811058,1,2,1,False
2021-04-11_ST_3,2021-04-11,ST,2020-21,14,60.0,252.06735309872886,3,3,1,False
2021-04-11_ST_4,2021-04-11,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-04-11_ST_5,2021-04-11,ST,2020-21,12,60.0,42.889307353751036,1,2,1,False
2021-04-11_ST_6,2021-04-11,ST,2020-21,14,60.0,50.57482825092794,1,2,1,False
2021-04-11_ST_7,2021-04-11,ST,2020-21,14,60.0,62.41573900680756,1,2,1,False
2021-04-11_ST_8,2021-04-11,ST,2020-21,10,60.0,14.489903046629298,1,2,1,False
2021-04-11_ST_9,2021-04-11,ST,2020-21,13,60.0,0.0,0,1,0,False
2021-04-14_HV_1,2021-04-14,HV,2020-21,12,60.0,70.6913079096615,1,2,1,False
2021-04-14_HV_2,2021-04-14,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-04-14_HV_3,2021-04-14,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-04-14_HV_4,2021-04-14,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-04-14_HV_5,2021-04-14,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-04-14_HV_6,2021-04-14,HV,2020-21,10,60.0,39.375349987653244,1,2,1,False
2021-04-14_HV_7,2021-04-14,HV,2020-21,12,60.0,78.5740716079714,1,2,1,False
2021-04-14_HV_8,2021-04-14,HV,2020-21,12,60.0,173.56524666421933,3,3,1,False
2021-04-14_HV_9,2021-04-14,HV,2020-21,12,60.0,160.60154050186122,3,3,1,False
2021-04-17_ST_1,2021-04-17,ST,2020-21,12,60.0,0.0,0,1,0,False
2021-04-17_ST_10,2021-04-17,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-04-17_ST_2,2021-04-17,ST,2020-21,10,60.0,33.95893862280228,1,2,1,False
